id,title,description,availability,condition,price,link,image_link,brand
1,"ТАРИФ ЕКСПЕРТ (МЕХАНІКА)","ТАРИФ ЕКСПЕРТ(МЕХАНІКА)Наш ЕКСПЕРТ пакет навчання в автошколі - це ідеальний вибір для тих, хто бажає отримати особливий рівень навчання та комфорту. Не вагайтеся та приєднуйтеся до нашої автошколи сьогодні, щоб стати впевненим водієм та отримати водійське посвідчення!",in_stock,new,"33900 UAH",https://pdr-online.com.ua/avtoshkoli/kurs-ekspert-paket/tarif-ekspert-mehanika/,https://pdr-online.com.ua/assets/images/products/1.jpg,PDR-ONLINE
2,"ТАРИФ ЕКСПЕРТ(АВТОМАТ)","ТАРИФ ЕКСПЕРТ(АВТОМАТ)Наш ЕКСПЕРТ пакет навчання в автошколі - це ідеальний вибір для тих, хто бажає отримати особливий рівень навчання та комфорту.Не вагайтеся та приєднуйтеся до нашої автошколи сьогодні, щоб стати впевненим водієм та отримати водійське посвідчення!",in_stock,new,"33900 UAH",https://pdr-online.com.ua/avtoshkoli/kurs-ekspert-paket/tarif-ekspertavtomat/,https://pdr-online.com.ua/assets/images/products/2.jpg,PDR-ONLINE
3,"Перший внесок (Тариф Експерт)","Перший внесок (Тариф Експерт)",in_stock,new,"9900 UAH",https://pdr-online.com.ua/avtoshkoli/kurs-ekspert-paket/pershij-vnesok-tarif-ekspert/,https://pdr-online.com.ua/assets/images/products/3.jpg,PDR-ONLINE
4,"Теоретичний курс (Офлайн)","Вивчення теорії ПДР в класах у всіх районах КиєваТаурус (курси водіння Київ) пропонує Вам навчання водінню автомобіля в розстрочку. Ціни актуальні з 21.12.2023. Курс теорії 63 годиниЛекції: ранок, вечір, вихідні1 місяц - тривалість навчанняЗаняття з медицини та ОБДРОформлення документів для реєстрації в СЦНавчальний матеріал у Подарунок!",in_stock,new,"6900 UAH",https://pdr-online.com.ua/avtoshkoli/teoretichnij-kurs/teoretichnij-kurs-oflajn/,https://pdr-online.com.ua/assets/images/products/4.jpg,PDR-ONLINE
5,"Теоретичний курс (Онлайн)","Вивчення теорії ПДР в класах у всіх районах КиєваТаурус (курси водіння Київ) пропонує Вам навчання водінню автомобіля в розстрочку. Ціни актуальні з 21.12.2023. Курс теорії 63 годиниЛекції: ранок, вечір, вихідні1 місяц - тривалість навчанняЗаняття з медицини та ОБДРОформлення документів для реєстрації в СЦНавчальний матеріал у Подарунок!",in_stock,new,"5900 UAH",https://pdr-online.com.ua/avtoshkoli/teoretichnij-kurs/teoretichnij-kurs-onlajn/,https://pdr-online.com.ua/assets/images/products/5.jpg,PDR-ONLINE
6,"Медкомісія (Надання інших інформаційних послуг, н.в.і.у.)","Медкомісія для водіїв Організуємо виїзну комісію Проходження в Автошколі У всіх офісах, у зручний час Тільки для учнів автошколи «Таурус»",in_stock,new,"500 UAH",https://pdr-online.com.ua/avtoshkoli/teoretichnij-kurs/medkomisiya-nadannya-inshih-informacijnih-poslug-n.v.i.u/,https://pdr-online.com.ua/assets/images/products/6.jpg,PDR-ONLINE
7,"Теоретичний курс (Онлайн) С або СЕ категорія","Вивчення теорії ПДР Online по всій УкраїніТаурус (курси водіння Київ) пропонує Вам навчання водінню автомобіля в розстрочку. Ціни актуальні з 15.02.2023. Курс теорії 63 годиниЛекції: проходите в зручний час 1 місяц - тривалість навчанняЗаняття з медицини та ОБДРОформлення документів для реєстрації в СЦ",in_stock,new,"5900 UAH",https://pdr-online.com.ua/avtoshkoli/gruzovi-kategorii/teoretichnij-kurs-onlajn-s-abo-se-kategoriya/,https://pdr-online.com.ua/assets/images/products/7.jpg,PDR-ONLINE
8,"Реєстрація в базі автошколи","Реєстрація в базі автошколи",in_stock,new,"2000 UAH",https://pdr-online.com.ua/avtoshkoli/dodatkovi-poslugi/reestraciya-v-bazi-avtoshkoli/,https://pdr-online.com.ua/assets/images/products/8.jpg,PDR-ONLINE
9,"Чіп-карта водія","Чіп-карта це пластикова карта, яка використовується у цифрових тахографах для фіксації режимів роботи та відпочинку водія.",in_stock,new,"2000 UAH",https://pdr-online.com.ua/avtoshkoli/dodatkovi-poslugi/chip-karta-vodiya/,https://pdr-online.com.ua/assets/images/products/9.jpg,PDR-ONLINE
10,"Подовження доступу до онлайн-платформи","Подовження доступу до онлайн-платформи",in_stock,new,"3500 UAH",https://pdr-online.com.ua/avtoshkoli/dodatkovi-poslugi/podovzhennya-dostupu-do-onlajn-platformi/,https://pdr-online.com.ua/assets/images/products/10.jpg,PDR-ONLINE
